,Title,Year,Writer,Genre,IMDB_Rating,IMDB_Votes,Rotten_Tomatoes,Country,Awards,Key
0,Arrow,2012,"Greg Berlanti, Marc Guggenheim, Andrew Kreisberg","Action, Adventure, Crime, Drama, Mystery, Sci-Fi",7.5,403398,85,USA,22 wins & 84 nominations.,Arrow2012
0,The IT Crowd,2006,0,Comedy,8.5,131078,87,UK,9 wins & 18 nominations.,The IT Crowd2006
0,The Twilight Zone,1959,Rod Serling,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",9.0,69646,82,USA,Won 1 Golden Globe. Another 8 wins & 14 nominations.,The Twilight Zone1959
0,You,2018,"Sera Gamble, Greg Berlanti","Crime, Drama, Romance, Thriller",7.8,133566,91,USA,2 wins & 4 nominations.,You2018
0,Sex Education,2019,Laurie Nunn,"Comedy, Drama",8.3,146125,94,UK,2 wins & 17 nominations.,Sex Education2019
0,Sex Education,2019,Laurie Nunn,"Comedy, Drama",8.3,146125,94,UK,2 wins & 17 nominations.,Sex Education2019
0,Broadchurch,2013,Chris Chibnall,"Crime, Drama, Mystery",8.4,89593,92,UK,24 wins & 26 nominations.,Broadchurch2013
0,Kingdom,2019,0,"Action, Drama, Horror, Thriller",8.4,27364,96,South Korea,0,Kingdom2019
0,Altered Carbon,2018,Laeta Kalogridis,"Action, Drama, Sci-Fi, Thriller",8.0,138405,64,USA,Nominated for 2 Primetime Emmys. Another 4 wins & 20 nominations.,Altered Carbon2018
0,The Sinner,2017,Derek Simonds,"Crime, Drama, Mystery, Thriller",7.9,82629,95,USA,Nominated for 2 Golden Globes. Another 11 nominations.,The Sinner2017
0,"Love, Death & Robots",2019,Tim Miller,"Animation, Short, Comedy, Fantasy, Horror, Sci-Fi",8.5,90736,78,USA,Won 5 Primetime Emmys. Another 4 wins & 5 nominations.,"Love, Death & Robots2019"
0,Jessica Jones,2015,Melissa Rosenberg,"Action, Crime, Drama, Sci-Fi, Thriller",7.9,190561,83,USA,Won 1 Primetime Emmy. Another 10 wins & 22 nominations.,Jessica Jones2015
0,New Girl,2011,Elizabeth Meriwether,Comedy,7.7,168551,94,USA,Nominated for 5 Golden Globes. Another 11 wins & 69 nominations.,New Girl2011
0,The Umbrella Academy,2019,"Steve Blackman, Jeremy Slater","Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",8.0,140440,77,"USA, Canada",Nominated for 2 Primetime Emmys. Another 7 wins & 19 nominations.,The Umbrella Academy2019
0,The Punisher,2017,Steve Lightfoot,"Action, Crime, Drama, Thriller",8.5,177945,63,USA,Nominated for 1 Primetime Emmy. Another 1 win & 13 nominations.,The Punisher2017
0,Ash vs Evil Dead,2015,"Ivan Raimi, Sam Raimi, Tom Spezialy","Action, Comedy, Fantasy, Horror",8.4,63746,99,USA,12 wins & 17 nominations.,Ash vs Evil Dead2015
0,Master of None,2015,"Aziz Ansari, Alan Yang","Comedy, Drama",8.3,64278,100,USA,Won 1 Golden Globe. Another 15 wins & 64 nominations.,Master of None2015
0,Bodyguard,2018,Jed Mercurio,"Crime, Drama, Thriller",8.1,88691,93,UK,Won 1 Golden Globe. Another 11 wins & 23 nominations.,Bodyguard2018
0,Narcos: Mexico,2018,"Carlo Bernard, Chris Brancato, Doug Miro","Crime, Drama",8.4,57489,88,"Mexico, USA",2 wins & 7 nominations.,Narcos: Mexico2018
0,The West Wing,1999,Aaron Sorkin,Drama,8.8,62249,75,USA,Won 2 Golden Globes. Another 118 wins & 263 nominations.,The West Wing1999
0,Bates Motel,2013,"Anthony Cipriano, Carlton Cuse, Kerry Ehrin","Drama, Horror, Mystery, Thriller",8.2,95039,93,USA,Nominated for 3 Primetime Emmys. Another 6 wins & 64 nominations.,Bates Motel2013
0,Atypical,2017,Robia Rashid,"Comedy, Drama",8.3,55808,87,USA,4 nominations.,Atypical2017
0,Once Upon a Time,2011,"Adam Horowitz, Edward Kitsis","Adventure, Fantasy, Romance",7.7,206406,80,USA,Nominated for 7 Primetime Emmys. Another 12 wins & 87 nominations.,Once Upon a Time2011
0,Gomorrah,2014,"Leonardo Fasoli, Stefano Bises, Roberto Saviano, Ludovica Rampoldi, Giovanni Bianconi","Crime, Drama, Thriller",8.7,27949,94,"Italy, Germany",9 wins & 2 nominations.,Gomorrah2014
0,Making a Murderer,2015,0,"Documentary, Crime",8.6,85202,84,USA,Won 4 Primetime Emmys. Another 9 wins & 13 nominations.,Making a Murderer2015
0,Death Note,2006,0,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",9.0,223987,0,Japan,2 wins.,Death Note2006
0,Castlevania,2017,Warren Ellis,"Animation, Action, Adventure, Fantasy, Horror",8.2,36416,93,USA,3 wins & 4 nominations.,Castlevania2017
0,Riverdale,2017,Roberto Aguirre-Sacasa,"Crime, Drama, Mystery, Romance",6.9,111636,86,USA,30 wins & 41 nominations.,Riverdale2017
0,Fauda,2015,"Avi Issacharoff, Lior Raz","Action, Drama, Thriller",8.2,16796,100,Israel,13 wins & 8 nominations.,Fauda2015
0,Russian Doll,2019,"Leslye Headland, Natasha Lyonne, Amy Poehler","Adventure, Comedy, Drama, Mystery",7.9,62844,96,USA,Nominated for 1 Golden Globe. Another 5 wins & 38 nominations.,Russian Doll2019
0,Our Planet,2019,0,Documentary,9.3,28880,93,"USA, UK",Won 2 Primetime Emmys. Another 2 wins & 19 nominations.,Our Planet2019
0,Big Mouth,2017,"Jennifer Flackett, Andrew Goldberg, Mark Levin, Nick Kroll","Animation, Comedy, Romance",8.0,50687,100,USA,Won 1 Primetime Emmy. Another 1 win & 22 nominations.,Big Mouth2017
0,Gotham,2014,Bruno Heller,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",7.9,190942,77,USA,Won 1 Primetime Emmy. Another 5 wins & 44 nominations.,Gotham2014
0,I Am Not Okay with This,2020,"Jonathan Entwistle, Christy Hall",Comedy,7.6,36857,85,USA,1 win & 1 nomination.,I Am Not Okay with This2020
0,Criminal Minds,2005,Jeff Davis,"Crime, Drama, Mystery, Thriller",8.1,152123,0,"USA, Canada",Nominated for 3 Primetime Emmys. Another 23 wins & 32 nominations.,Criminal Minds2005
0,The Vietnam War,2017,0,"Documentary, History, War",9.1,19484,98,USA,Nominated for 4 Primetime Emmys. Another 5 wins & 6 nominations.,The Vietnam War2017
0,Waco,2018,0,"Crime, Drama, History, Thriller",7.9,16490,68,USA,Nominated for 3 Primetime Emmys. Another 2 nominations.,Waco2018
0,The OA,2016,"Zal Batmanglij, Brit Marling","Drama, Fantasy, Mystery, Sci-Fi",7.8,87703,84,USA,1 win & 8 nominations.,The OA2016
0,Outer Banks,2020,"Shannon Burke, Jonas Pate, Josh Pate","Action, Crime, Drama, Mystery, Romance, Thriller",7.6,15982,72,USA,0,Outer Banks2020
0,The Midnight Gospel,2020,Duncan Trussell,"Animation, Adventure, Comedy, Fantasy, Sci-Fi",8.3,9591,90,USA,0,The Midnight Gospel2020
0,Good Girls,2018,Jenna Bans,"Comedy, Crime, Drama",7.9,29381,87,USA,1 nomination.,Good Girls2018
0,Chilling Adventures of Sabrina,2018,Roberto Aguirre-Sacasa,"Drama, Fantasy, Horror, Mystery, Thriller",7.6,68999,84,USA,4 wins & 19 nominations.,Chilling Adventures of Sabrina2018
0,Doctor Foster: A Woman Scorned,2015,0,Drama,7.7,14201,85,UK,9 wins & 2 nominations.,Doctor Foster: A Woman Scorned2015
0,Gilmore Girls,2000,Amy Sherman-Palladino,"Comedy, Drama",8.1,97434,85,USA,Nominated for 1 Golden Globe. Another 23 wins & 84 nominations.,Gilmore Girls2000
0,iZombie,2015,"Diane Ruggiero-Wright, Rob Thomas","Comedy, Crime, Drama, Horror",7.9,58980,91,USA,7 wins & 19 nominations.,iZombie2015
0,Anne with an E,2017,Moira Walley-Beckett,Drama,8.7,32244,62,Canada,23 wins & 47 nominations.,Anne with an E2017
0,A Series of Unfortunate Events,2017,0,"Adventure, Comedy, Drama, Family, Mystery",7.8,52715,96,USA,Nominated for 6 Primetime Emmys. Another 18 wins & 38 nominations.,A Series of Unfortunate Events2017
0,Neon Genesis Evangelion,1995,Hideaki Anno,"Animation, Action, Drama, Fantasy, Sci-Fi, Thriller",8.5,47964,100,Japan,0,Neon Genesis Evangelion1995
0,Into the Badlands,2015,"Alfred Gough, Miles Millar","Action, Adventure, Drama",8.0,40197,83,USA,1 win & 8 nominations.,Into the Badlands2015
0,Monty Python's Flying Circus,1969,"Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, John Cleese",Comedy,8.8,66195,100,UK,4 wins & 7 nominations.,Monty Python's Flying Circus1969
0,Jane the Virgin,2014,Jennie Snyder Urman,Comedy,7.8,36868,100,USA,Won 1 Golden Globe. Another 19 wins & 70 nominations.,Jane the Virgin2014
0,Halt and Catch Fire,2014,"Christopher Cantwell, Christopher C. Rogers",Drama,8.4,27449,90,USA,Nominated for 1 Primetime Emmy. Another 2 wins & 10 nominations.,Halt and Catch Fire2014
0,Grace and Frankie,2015,"Marta Kauffman, Howard J. Morris",Comedy,8.3,37155,89,USA,Nominated for 1 Golden Globe. Another 2 wins & 51 nominations.,Grace and Frankie2015
0,NCIS,2003,"Donald P. Bellisario, Don McGill","Action, Crime, Drama, Mystery, Thriller",7.8,116333,40,USA,Nominated for 3 Primetime Emmys. Another 27 wins & 37 nominations.,NCIS2003
0,Weeds,2005,Jenji Kohan,"Comedy, Crime, Drama",7.9,101424,70,USA,Won 1 Golden Globe. Another 14 wins & 99 nominations.,Weeds2005
0,GLOW,2017,"Liz Flahive, Carly Mensch","Comedy, Drama, Sport",8.0,39136,93,USA,Nominated for 2 Golden Globes. Another 12 wins & 91 nominations.,GLOW2017
0,Person of Interest,2011,Jonathan Nolan,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",8.4,161377,0,USA,Nominated for 1 Primetime Emmy. Another 9 wins & 21 nominations.,Person of Interest2011
0,13 Reasons Why,2017,Brian Yorkey,"Drama, Mystery",7.6,249741,39,USA,Nominated for 1 Golden Globe. Another 4 wins & 14 nominations.,13 Reasons Why2017
0,Godless,2017,0,"Drama, Western",8.3,48666,85,USA,Won 3 Primetime Emmys. Another 4 wins & 27 nominations.,Godless2017
0,Locked Up,2015,Frank Christian Marx,"Mystery, Thriller",0.0,0,100,"Germany, USA",0,Locked Up2015
0,Gossip Girl Revealed,2008,0,Drama,8.6,52,84,USA,0,Gossip Girl Revealed2008
0,Unbreakable Kimmy Schmidt,2015,"Robert Carlock, Tina Fey",Comedy,7.6,62196,96,USA,Nominated for 18 Primetime Emmys. Another 17 wins & 68 nominations.,Unbreakable Kimmy Schmidt2015
0,Lost in Space,2018,"Irwin Allen, Matt Sazama, Burk Sharpless","Adventure, Drama, Family, Mystery, Sci-Fi",7.3,71308,75,USA,Nominated for 2 Primetime Emmys. Another 5 wins & 19 nominations.,Lost in Space2018
0,Scandal,2012,Shonda Rhimes,"Drama, Thriller",7.7,66387,93,USA,Nominated for 1 Golden Globe. Another 34 wins & 68 nominations.,Scandal2012
0,Hunter x Hunter,2011,Yoshihiro Togashi,"Animation, Action, Adventure, Comedy, Fantasy",8.9,50442,0,Japan,2 wins.,Hunter x Hunter2011
0,One Day at a Time,2017,"Gloria Calderon Kellett, Mike Royce",Comedy,8.2,12160,99,USA,Won 1 Primetime Emmy. Another 8 wins & 38 nominations.,One Day at a Time2017
0,DC's Legends of Tomorrow,2016,"Greg Berlanti, Marc Guggenheim, Phil Klemmer, Andrew Kreisberg","Action, Adventure, Drama, Sci-Fi",6.8,90157,87,USA,3 wins & 23 nominations.,DC's Legends of Tomorrow2016
0,Manhunt,2017,"Andrew Sodroski, Jim Clemente, Tony Gittelson","Biography, Crime, Drama, Thriller",8.1,47518,93,USA,2 nominations.,Manhunt2017
0,Naruto,2002,Masashi Kishimoto,"Animation, Action, Adventure, Comedy, Fantasy",8.3,66897,0,Japan,0,Naruto2002
0,Charmed,1998,Constance M. Burge,"Drama, Fantasy, Mystery",7.1,70575,75,USA,5 wins & 17 nominations.,Charmed1998
0,The Dragon Prince,2018,"Aaron Ehasz, Justin Richmond","Animation, Adventure, Drama, Family, Fantasy, Thriller",8.4,15540,100,"USA, Canada",2 wins & 3 nominations.,The Dragon Prince2018
0,Locke & Key,2020,"Meredith Averill, Carlton Cuse, Aron Eli Coleite","Drama, Fantasy, Horror, Mystery, Thriller",7.4,37728,67,"Canada, USA",5 nominations.,Locke & Key2020
0,Alias Grace,2017,0,"Biography, Crime, Drama, Thriller",7.8,24512,99,Canada,Nominated for 1 Primetime Emmy. Another 9 wins & 18 nominations.,Alias Grace2017
0,American Vandal,2017,"Dan Perrault, Tony Yacenda","Comedy, Crime, Drama, Mystery",8.2,26122,97,USA,Nominated for 1 Primetime Emmy. Another 3 wins & 17 nominations.,American Vandal2017
0,Santa Clarita Diet,2017,Victor Fresco,"Comedy, Horror",7.8,54652,89,USA,3 nominations.,Santa Clarita Diet2017
0,Maniac,2018,"Cary Joji Fukunaga, Patrick Somerville","Comedy, Drama, Sci-Fi",7.8,63157,85,USA,1 win & 11 nominations.,Maniac2018
0,The Dark Crystal: Age of Resistance,2019,"Jeffrey Addiss, Will Matthews","Adventure, Drama, Family, Fantasy, Sci-Fi",8.5,20348,87,"UK, USA",Won 1 Primetime Emmy. Another 2 wins & 7 nominations.,The Dark Crystal: Age of Resistance2019
0,Colony,2016,"Ryan J. Condal, Carlton Cuse","Action, Adventure, Drama, Sci-Fi",7.4,29392,92,USA,5 nominations.,Colony2016
0,Wild Wild Country,2018,0,"Documentary, Crime",8.2,22724,98,USA,Won 1 Primetime Emmy. Another 1 win & 13 nominations.,Wild Wild Country2018
0,Rectify,2013,Ray McKinnon,Drama,8.3,23954,95,USA,1 win & 11 nominations.,Rectify2013
0,Pose,2018,"Steven Canals, Brad Falchuk, Ryan Murphy",Drama,8.6,17308,96,USA,Nominated for 3 Golden Globes. Another 20 wins & 65 nominations.,Pose2018
0,Luke Cage,2016,Cheo Hodari Coker,"Action, Crime, Drama, Sci-Fi, Thriller",7.3,114955,87,USA,Won 1 Primetime Emmy. Another 5 wins & 22 nominations.,Luke Cage2016
0,Hollywood,2020,"Ian Brennan, Ryan Murphy",Drama,7.6,26918,57,USA,Won 2 Primetime Emmys. Another 1 win & 34 nominations.,Hollywood2020
0,Derry Girls,2018,Lisa McGee,Comedy,8.4,17819,97,UK,3 wins & 6 nominations.,Derry Girls2018
0,Dark Matter,2015,"Joseph Mallozzi, Paul Mullie","Adventure, Drama, Mystery, Sci-Fi, Thriller",7.5,38376,89,Canada,10 nominations.,Dark Matter2015
